                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3355,                 2.8693,                 1.6432,                0.57454,                   0.85,                0.87817,                0.63489,                 1.6474,                 1.0703,                 1.3814,                      0,                      0,                      0
                      2,                 1.2045,                 2.6937,                 1.5111,                0.56574,                   0.85,                 0.8488,                 0.6319,                 1.6448,                 1.0603,                 1.3717,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1597,                 3.6333,                 1.5729,                0.55955,                   0.85,                0.85083,                0.63276,                 1.6653,                  1.061,                 1.3773,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2772,                 2.7401,                 1.3887,                0.56025,                   0.85,                0.84952,                0.61586,                 1.6591,                 1.0535,                  1.376,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3719,                 3.0851,                 1.7263,                0.56731,                   0.85,                0.85526,                0.63771,                 1.6573,                 1.0408,                 1.3695,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.5615,                 4.1141,                 1.9644,                0.54412,                   0.85,                 0.8936,                0.63825,                  1.684,                 1.0583,                 1.3758,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1397,                  1.913,                 1.4195,                0.53943,                0.85175,                0.89406,                0.64255,                 1.6826,                 1.0592,                 1.3752,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.3758,                 4.0186,                 1.6142,                0.55027,                 0.8595,                0.85911,                0.61257,                  1.642,                 1.0572,                 1.3511,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                  1.116,                 2.7038,                 1.4109,                0.56883,                0.86388,                0.81827,                0.59503,                 1.6634,                 1.0592,                 1.3616,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1865,                 3.4474,                 1.5955,                0.57996,                0.86409,                0.81418,                0.59503,                 1.6552,                 1.0564,                 1.3549,             9.7557e-06,             9.7557e-06,             9.7557e-06
